tblCodeID,Code,Rel_tblCodeID,Rel_Code,Rel_Codedesc,Rel_tblCodeTypeID,Rel_CodeType,"tblCodeID	Code	Rel_tblCodeID	Rel_Code	Rel_Codedesc	Rel_tblCodeTypeID	Rel_CodeType",,,,,,
169256,sbr.27.6-8,136791,27.8.b,Bay of Biscay - Central,358,ICES_Area                     ,"169256	sbr.27.6-8	136791	27.8.b	Bay of Biscay - Central	358	ICES_Area                     ",,,,,,
169256,sbr.27.6-8,136790,27.8.a,Bay of Biscay - North,358,ICES_Area                     ,"169256	sbr.27.6-8	136790	27.8.a	Bay of Biscay - North	358	ICES_Area                     ",,,,,,
169256,sbr.27.6-8,136793,27.8.d.1,Bay of Biscay - Offshore - Parts in NEAFC Regulatory Area,358,ICES_Area                     ,"169256	sbr.27.6-8	136793	27.8.d.1	Bay of Biscay - Offshore - Parts in NEAFC Regulatory Area	358	ICES_Area                     ",,,,,,
169256,sbr.27.6-8,136794,27.8.d.2,Bay of Biscay - Offshore Non-NEAFC Regulatory Area,358,ICES_Area                     ,"169256	sbr.27.6-8	136794	27.8.d.2	Bay of Biscay - Offshore Non-NEAFC Regulatory Area	358	ICES_Area                     ",,,,,,
169256,sbr.27.6-8,136792,27.8.c,Bay of Biscay - South,358,ICES_Area                     ,"169256	sbr.27.6-8	136792	27.8.c	Bay of Biscay - South	358	ICES_Area                     ",,,,,,
169256,sbr.27.6-8,136788,27.7.f,Bristol Channel,358,ICES_Area                     ,"169256	sbr.27.6-8	136788	27.7.f	Bristol Channel	358	ICES_Area                     ",,,,,,
169256,sbr.27.6-8,136789,27.7.g,Celtic Sea North,358,ICES_Area                     ,"169256	sbr.27.6-8	136789	27.7.g	Celtic Sea North	358	ICES_Area                     ",,,,,,
169256,sbr.27.6-8,136814,27.7.h,Celtic Sea South,358,ICES_Area                     ,"169256	sbr.27.6-8	136814	27.7.h	Celtic Sea South	358	ICES_Area                     ",,,,,,
169256,sbr.27.6-8,136786,27.7.d,Eastern English Channel,358,ICES_Area                     ,"169256	sbr.27.6-8	136786	27.7.d	Eastern English Channel	358	ICES_Area                     ",,,,,,
169256,sbr.27.6-8,136782,27.7.a,Irish Sea,358,ICES_Area                     ,"169256	sbr.27.6-8	136782	27.7.a	Irish Sea	358	ICES_Area                     ",,,,,,
169256,sbr.27.6-8,136779,27.6.a,Northwest Coast of Scotland and North Ireland or as the West of Scotland,358,ICES_Area                     ,"169256	sbr.27.6-8	136779	27.6.a	Northwest Coast of Scotland and North Ireland or as the West of Scotland	358	ICES_Area                     ",,,,,,
169256,sbr.27.6-8,136784,27.7.c.1,Porcupine Bank - NEAFC Regulatory Area,358,ICES_Area                     ,"169256	sbr.27.6-8	136784	27.7.c.1	Porcupine Bank - NEAFC Regulatory Area	358	ICES_Area                     ",,,,,,
169256,sbr.27.6-8,136785,27.7.c.2,Porcupine Bank Non-NEAFC Regulatory Area,358,ICES_Area                     ,"169256	sbr.27.6-8	136785	27.7.c.2	Porcupine Bank Non-NEAFC Regulatory Area	358	ICES_Area                     ",,,,,,
169256,sbr.27.6-8,136780,27.6.b.1,Rockall - Part of NEAFC area I ,358,ICES_Area                     ,"169256	sbr.27.6-8	136780	27.6.b.1	Rockall - Part of NEAFC area I 	358	ICES_Area                     ",,,,,,
169256,sbr.27.6-8,136781,27.6.b.2,Rockall Non-NEAFC area,358,ICES_Area                     ,"169256	sbr.27.6-8	136781	27.6.b.2	Rockall Non-NEAFC area	358	ICES_Area                     ",,,,,,
169256,sbr.27.6-8,136797,27.7.j.1,Southwest of Ireland - East - Parts of the NEAFC Regulatory,358,ICES_Area                     ,"169256	sbr.27.6-8	136797	27.7.j.1	Southwest of Ireland - East - Parts of the NEAFC Regulatory	358	ICES_Area                     ",,,,,,
169256,sbr.27.6-8,136798,27.7.j.2,Southwest of Ireland - East Non-NEAFC Regulatory Area,358,ICES_Area                     ,"169256	sbr.27.6-8	136798	27.7.j.2	Southwest of Ireland - East Non-NEAFC Regulatory Area	358	ICES_Area                     ",,,,,,
169256,sbr.27.6-8,136799,27.7.k.1,Southwest of Ireland - West - Part of the NEAFC Regulatory Area,358,ICES_Area                     ,"169256	sbr.27.6-8	136799	27.7.k.1	Southwest of Ireland - West - Part of the NEAFC Regulatory Area	358	ICES_Area                     ",,,,,,
169256,sbr.27.6-8,136800,27.7.k.2,Southwest of Ireland - West - Part of the Non-NEAFC Area I,358,ICES_Area                     ,"169256	sbr.27.6-8	136800	27.7.k.2	Southwest of Ireland - West - Part of the Non-NEAFC Area I	358	ICES_Area                     ",,,,,,
169256,sbr.27.6-8,136795,27.8.e.1,West of Bay of Biscay - Parts in NEAFC Regulatory Area ,358,ICES_Area                     ,"169256	sbr.27.6-8	136795	27.8.e.1	West of Bay of Biscay - Parts in NEAFC Regulatory Area 	358	ICES_Area                     ",,,,,,
169256,sbr.27.6-8,136796,27.8.e.2,West of Bay of Biscay Non-NEAFC Regulatory Area,358,ICES_Area                     ,"169256	sbr.27.6-8	136796	27.8.e.2	West of Bay of Biscay Non-NEAFC Regulatory Area	358	ICES_Area                     ",,,,,,
169256,sbr.27.6-8,136783,27.7.b,West of Ireland ,358,ICES_Area                     ,"169256	sbr.27.6-8	136783	27.7.b	West of Ireland 	358	ICES_Area                     ",,,,,,
