StockKeyLabel,ICES_Area
bsf-nea,27.1.b
qsc-nea,27.1.b
scx-nea,27.1.b
arg-123a4,27.1.b
tsu-nea,27.1.b
agn.27.nea,27.1.b
alf.27.nea,27.1.b
anf.27.1-2,27.1.b
aru.27.123a4,27.1.b
bli.27.nea,27.1.b
bsf.27.nea,27.1.b
bsk.27.nea,27.1.b
cap.27.1-2,27.1.b
cod.27.1-2,27.1.b
cod.27.1-2coast,27.1.b
cyo.27.nea,27.1.b
dgs.27.nea,27.1.b
gag.27.nea,27.1.b
gfb.27.nea,27.1.b
ghl.27.1-2,27.1.b
guq.27.nea,27.1.b
had.27.1-2,27.1.b
her.27.1-24a514a,27.1.b
lin.27.1-2,27.1.b
mac.27.nea,27.1.b
ory.27.nea,27.1.b
pra.27.1-2,27.1.b
por.27.nea,27.1.b
rja.27.nea,27.1.b
rng.27.1245a8914ab,27.1.b
pok.27.1-2,27.1.b
sck.27.nea,27.1.b
reb.27.1-2,27.1.b
reg.27.1-2,27.1.b
sdv.27.nea,27.1.b
tsu.27.nea,27.1.b
usk.27.1-2,27.1.b
whb.27.1-91214,27.1.b
omz.27.1-2,27.1.b
seh.27.125a14,27.1.b
seh.27.1,27.1.b
pok.27.7-10,27.8
lin.27.346-91214,27.8
agn-nea,27.8.b
alf-comb,27.8.b
ane-bisc,27.8.b
ang-78ab,27.8.b
arg-comb,27.8.b
arg-oth,27.8.b
bli-comb,27.8.b
bli-oth,27.8.b
bsh-nea,27.8.b
boc-nea,27.8.b
bsf-89,27.8.b
bsf-comb,27.8.b
bsk-nea,27.8.b
bss-comb,27.8.b
cyo-nea,27.8.b
czs-comb,27.8.b
dgs-nea,27.8.b
ele-nea,27.8.b
gag-nea,27.8.b
gfb-comb,27.8.b
gug-89a,27.8.b
gug-comb,27.8.b
guq-nea,27.8.b
hke-nrtn,27.8.b
hom-west,27.8.b
lin-comb,27.8.b
lin-oth,27.8.b
mac-nea,27.8.b
mgw-78,27.8.b
mut-comb,27.8.b
mut-west,27.8.b
nep-2324,27.8.b
ory-comb,27.8.b
ple-89a,27.8.b
pol-89a,27.8.b
por-nea,27.8.b
raj-89a,27.8.b
rjb-89a,27.8.b
rjc-bisc,27.8.b
rjm-bisc,27.8.b
rjn-bisc,27.8.b
rng-comb,27.8.b
rng-oth,27.8.b
