StockKeyLabel,AssessmentYear,Ecoregion,AdviceCategory,AssessmentKey,lineNumber,lineDescription,fishingPressure,stockSize,stockSizeStatus,fishingPressureStatus,year,status,statusicon,type
aru.27.123a4,2023,"Arctic Ocean, Barents Sea, Greater North Sea, Norwegian Sea",MSY,18198,1,Maximum sustainable yield,F<sub>MSY</sub>,MSY B<sub>trigger</sub>,Undefined,Below Fmsy proxy,2022,6,http://sg.ices.dk/download/icons/6.png,Stock Size
aru.27.123a4,2023,"Arctic Ocean, Barents Sea, Greater North Sea, Norwegian Sea",MSY,18198,2,Precautionary approach,"F<sub>pa</sub>,F<sub>lim</sub>","B<sub>pa</sub>,B<sub>lim</sub>",Undefined,Undefined,2020,6,http://sg.ices.dk/download/icons/6.png,Fishing pressure
aru.27.123a4,2023,"Arctic Ocean, Barents Sea, Greater North Sea, Norwegian Sea",MSY,18198,2,Precautionary approach,"F<sub>pa</sub>,F<sub>lim</sub>","B<sub>pa</sub>,B<sub>lim</sub>",Undefined,Undefined,2021,6,http://sg.ices.dk/download/icons/6.png,Fishing pressure
aru.27.123a4,2023,"Arctic Ocean, Barents Sea, Greater North Sea, Norwegian Sea",MSY,18198,2,Precautionary approach,"F<sub>pa</sub>,F<sub>lim</sub>","B<sub>pa</sub>,B<sub>lim</sub>",Undefined,Undefined,2022,6,http://sg.ices.dk/download/icons/6.png,Fishing pressure
aru.27.123a4,2023,"Arctic Ocean, Barents Sea, Greater North Sea, Norwegian Sea",MSY,18198,2,Precautionary approach,"F<sub>pa</sub>,F<sub>lim</sub>","B<sub>pa</sub>,B<sub>lim</sub>",Undefined,Undefined,2020,6,http://sg.ices.dk/download/icons/6.png,Stock Size
aru.27.123a4,2023,"Arctic Ocean, Barents Sea, Greater North Sea, Norwegian Sea",MSY,18198,2,Precautionary approach,"F<sub>pa</sub>,F<sub>lim</sub>","B<sub>pa</sub>,B<sub>lim</sub>",Undefined,Undefined,2021,6,http://sg.ices.dk/download/icons/6.png,Stock Size
aru.27.123a4,2023,"Arctic Ocean, Barents Sea, Greater North Sea, Norwegian Sea",MSY,18198,2,Precautionary approach,"F<sub>pa</sub>,F<sub>lim</sub>","B<sub>pa</sub>,B<sub>lim</sub>",Undefined,Undefined,2022,6,http://sg.ices.dk/download/icons/6.png,Stock Size
aru.27.123a4,2023,"Arctic Ocean, Barents Sea, Greater North Sea, Norwegian Sea",MSY,18198,3,Management plan,F<sub>MGT</sub>,B<sub>MGT</sub>,Not applicable,Not applicable,2020,0,http://sg.ices.dk/download/icons/0.png,Fishing pressure
aru.27.123a4,2023,"Arctic Ocean, Barents Sea, Greater North Sea, Norwegian Sea",MSY,18198,3,Management plan,F<sub>MGT</sub>,B<sub>MGT</sub>,Not applicable,Not applicable,2021,0,http://sg.ices.dk/download/icons/0.png,Fishing pressure
aru.27.123a4,2023,"Arctic Ocean, Barents Sea, Greater North Sea, Norwegian Sea",MSY,18198,3,Management plan,F<sub>MGT</sub>,B<sub>MGT</sub>,Not applicable,Not applicable,2022,0,http://sg.ices.dk/download/icons/0.png,Fishing pressure
aru.27.123a4,2023,"Arctic Ocean, Barents Sea, Greater North Sea, Norwegian Sea",MSY,18198,3,Management plan,F<sub>MGT</sub>,B<sub>MGT</sub>,Not applicable,Not applicable,2020,0,http://sg.ices.dk/download/icons/0.png,Stock Size
aru.27.123a4,2023,"Arctic Ocean, Barents Sea, Greater North Sea, Norwegian Sea",MSY,18198,3,Management plan,F<sub>MGT</sub>,B<sub>MGT</sub>,Not applicable,Not applicable,2021,0,http://sg.ices.dk/download/icons/0.png,Stock Size
